(id,Ocupacion)
8212,Contratistas y Supervisores Electricidad y Telecomunicaciones
8213,Contratistas y Supervisores Instalacion de Tuberias
8214,Contratistas y Supervisores Moldeo Forja y Montaje de estructuras metalicas
8215,Contratistas y Supervisores Carpinteria
8216,Contratistas y Supervisores Mecanica
8217,Contratistas y Supervisores Operacion de Equipo Pesado
8218,Contratistas y Supervisores Construccion y Otras ocupaciones de instalacion y reparacion
8221,Supervisores de Operacion de Transporte Ferroviario
8222,Supervisores de Operacion de Transporte Terrestre (no ferroviario)
8311,Ajustadores de Maquinas Herramientas
8312,Modelistas y Matriceros
8321,Electricistas Industriales
8322,Electricistas Residenciales
8323,Instaladores de Redes de Energia Electrica
8324,Instaladores y Reparadores de Redes y Lineas de Telecomunicaciones
8325,Trabajadores de Instalacion y Reparacion de Equipos de Telecomunicaciones
8326,Tecnicos de Mantenimiento y Servicio de Television por cable
8331,Plomeros
8332,Instaladores de Tuberias y Sistemas de Aspersion
8333,Instaladores de Redes y Equipos a Gas
8341,Chapistas y Caldereros
8342,Soldadores
8343,Montadores de Estructuras Metalicas
8344,Ornamentistas y Forjadores
8351,Carpinteros
8352,Ebanistas
8361,Oficiales de Construccion
8362,Trabajadores en Hormigon y Enfoscado
8363,Enchapadores
8364,Techadores
8365,Instaladores de Material Aislante
8366,Pintores y Empapeladores
8367,Instaladores de Pisos
8368,Revocadores
8371,Mecanicos Industriales
8372,Mecanicos de Maquinaria Textil
8373,Mecanicos de Equipo Pesado
8374,Mecanicos de Aviacion
8375,Mecanicos de Aire Acondicionado y Refrigeracion
8381,Mecanicos de Vehiculos Automotores
8382,Electricistas de Vehiculos Automotores
8383,Mecanicos de Motos
8384,Latoneros
8391,Reparadores de Aparatos Electrodomesticos
8392,Mecanicos Electricistas
8393,Ajustadores y Reparadores de Equipos Electronicos
8394,Mecanicos de Otros Pequenas Maquinas y Motores
8411,Instaladores Residenciales y Comerciales
8412,Operarios de Mantenimiento Instalaciones de Abastecimiento de Agua y Gas
8413,Vidrieros
8414,Otros Reparadores
8421,Tapiceros
8422,Sastres Modistos Peleteros y Sombrereros
8423,Zapateros y Afines
8424,Joyeros y Relojeros
8425,Tipografos
8426,Cerrajeros y Otros Oficios
8427,Buzos
8431,Operadores de Maquinas Estacionarias y Equipo Auxiliar
8432,Operadores de Plantas de Generacion y Distribucion de energia
8441,Operadores de Grua
8442,Perforadores y Operarios de Voladura -Mineria de Superficie canteras y construccion
8443,Perforadores de Pozos de Agua
8451,Operadores de Equipo Pesado (excepto grua)
8452,Operadores de Equipo para Limpieza de Vias y Alcantarillado
8453,Operadores de Maquinaria Agricola
8461,Maquinistas de Transporte Ferroviario
8462,Guardafrenos y Otros Operadores Ferroviarios
8471,Conductores de Vehiculos Pesados
8472,Conductores de Bus Operadores de Metro y Otros Medios de transporte colectivo
8473,Conductores de Vehiculos Livianos
8481,Marineros de Cubierta
8482,Marineros de Sala de Maquinas
8483,Operadores de Pequenas Embarcaciones
8484,Operarios de Rampa Transporte Aereo
8491,Operarios Portuarios
8492,Operarios de Cargue y Descargue de Materiales
8611,Ayudantes y Obreros de Construccion
8612,Ayudantes de Otros Oficios
8621,Obreros de Mantenimiento de Obras Publicas
8622,Ayudantes de Transporte Automotor
9211,Supervisores Tratamiento de Metales y Minerales
9212,Supervisores Procesamiento de Quimicos Petroleo gas y tratamiento de agua y generacion de energia
9213,Supervisores Procesamiento de Alimentos Bebidas y tabaco
9214,Supervisores Fabricacion de Productos de Plostico y caucho
9215,Supervisores Procesamiento de la Madera y Produccion de pulpa y papel
9216,Supervisores Procesamiento Textil
9221,Supervisores Ensamble de Vehiculos de Motor
9222,Supervisores Fabricacion de Productos Electronico
9223,Supervisores Fabricacion de Productos Electricos
9224,Supervisores Fabricacion de Muebles y Accesorios
9225,Supervisores Fabricacion de Productos de Tela Cuero y piel
9226,Supervisores Impresion y Ocupaciones Relacionadas
9227,Supervisores Fabricacion de Otros Productos Mecanicos y metalicos
9228,Supervisores Fabricacion y Ensamble de Otros Productos
9231,Operadores de Control Central de Procesos Tratamiento de metales y minerales
9232,Operadores de Procesos Quimicos Gas y Petroleo
9233,Operadores de Control de Procesos Produccion de Pulpa
9234,Operadores de Control de Procesos Fabricacion de Papel
9311,Operadores de Maquinas Tratamiento de Metales y Minerales
9312,Trabajadores de Fundicion
9313,Operadores de Fabricacion Moldeo y Acabado del Vidrio
9314,Operadores de Moldeo de Arcilla Piedra y Concreto
9315,Inspectores de Control de Calidad Tratamiento de metales y minerales
9321,Operadores de Maquinas de Planta Quimica
9322,Operadores de Maquinas para Procesamiento de Plasticos
9323,Operadores de Maquinas y Trabajadores Relacionados con el procesamiento del caucho
9324,Operadores de Plantas de Tratamiento de Aguas y Desechos
9331,Operadores de Maquinas para Procesamiento de la Madera
9332,Operadores de Maquinas para la Produccion de Pulpa
9333,Operadores de Maquinas para la Fabricacion de Papel
9334,Operadores de Maquinas para la Fabricacion de Producion de papel
9335,Inspectores de Control de Calidad Procesamiento de la madera
9341,Operadores de Maquinas para la Preparacion de Fibras textiles
